exercise,sets,reps,weight,date,rpe,rir,logged_at,actual_next_weight
Lat Pulldown,6,12,150.0,2015-12-26,,,2015-12-26T14:34:33,150.0
Rear delt fly,6,12,130.0,2015-12-26,,,2015-12-26T14:34:33,130.0
Seated Cable Row (close Grip),3,10,160.0,2015-12-26,,,2015-12-26T14:34:33,175.0
Seated Row,3,10,160.0,2015-12-26,,,2015-12-26T14:34:33,175.0
Deadlift,2,5,275.0,2015-12-27,,,2015-12-27T15:07:20,345.0
Deadlift (Barbell),2,5,275.0,2015-12-27,,,2015-12-27T15:07:20,345.0
Squat,2,6,275.0,2015-12-27,,,2015-12-27T15:07:20,225.0
Squat (Barbell),2,6,275.0,2015-12-27,,,2015-12-27T15:07:20,225.0
Lateral Raise,1,12,20.0,2015-12-28,,,2015-12-28T19:05:32,50.0
Lateral Raise (Dumbbells),1,12,20.0,2015-12-28,,,2015-12-28T19:05:32,50.0
Military Press (Standing),3,10,100.0,2015-12-28,,,2015-12-28T19:05:32,45.0
Seated Military Press (Dumbbell),3,12,180.0,2015-12-28,,,2015-12-28T19:05:32,180.0
Seated Shoulder Press (Dumbbell),3,12,180.0,2015-12-28,,,2015-12-28T19:05:32,180.0
Shoulder Press (Standing),3,10,100.0,2015-12-28,,,2015-12-28T19:05:32,45.0
Weighted dips,6,10,100.0,2015-12-28,,,2015-12-28T19:05:32,90.0
Bicep Curl (Barbell),3,10,90.0,2015-12-31,,,2015-12-31T17:38:40,90.0
Bicep Curl (barbell ),3,10,90.0,2015-12-31,,,2015-12-31T17:38:40,90.0
Chin Up,8,10,0.0,2015-12-31,,,2015-12-31T17:38:40,0.0
Hammer Curl,2,10,60.0,2015-12-31,,,2015-12-31T17:38:40,65.0
Hammer Curl (Dumbbell ),2,10,60.0,2015-12-31,,,2015-12-31T17:38:40,65.0
Lat Pulldown,6,12,150.0,2015-12-31,,,2015-12-31T17:38:40,145.0
Rear delt fly,6,12,130.0,2015-12-31,,,2015-12-31T17:38:40,115.0
Seated Cable Row (close Grip),3,10,175.0,2015-12-31,,,2015-12-31T17:38:40,190.0
Seated Row,3,10,175.0,2015-12-31,,,2015-12-31T17:38:40,190.0
Squat,4,9,225.0,2016-01-01,,,2016-01-01T08:59:41,185.0
Squat (Barbell),4,9,225.0,2016-01-01,,,2016-01-01T08:59:41,185.0
Incline Bench Press,3,8,240.0,2016-01-02,,,2016-01-02T13:58:40,245.0
Incline Bench Press (Barbell),3,8,240.0,2016-01-02,,,2016-01-02T13:58:40,245.0
Lateral Raise,2,12,50.0,2016-01-02,,,2016-01-02T13:58:40,60.0
Lateral Raise (Dumbbells),2,12,50.0,2016-01-02,,,2016-01-02T13:58:40,60.0
Weighted dips,4,8,90.0,2016-01-02,,,2016-01-02T13:58:40,115.0
Incline Bench Press,3,8,245.0,2016-01-06,,,2016-01-06T18:08:52,240.0
Incline Bench Press (Barbell),3,8,245.0,2016-01-06,,,2016-01-06T18:08:52,240.0
Weighted dips,4,8,115.0,2016-01-06,,,2016-01-06T18:08:52,90.0
Chin Up,6,12,0.0,2016-01-06,,,2016-01-06T18:32:40,35.0
Hammer Curl,2,12,65.0,2016-01-06,,,2016-01-06T18:32:40,60.0
Hammer Curl (Dumbbell ),2,12,65.0,2016-01-06,,,2016-01-06T18:32:40,60.0
Hammer back row wide 45 angle,8,10,180.0,2016-01-06,,,2016-01-06T18:32:40,210.0
Lat Pulldown,4,8,145.0,2016-01-06,,,2016-01-06T18:32:40,145.0
Squat,2,6,185.0,2016-01-08,,,2016-01-08T17:50:44,315.0
Squat (Barbell),2,6,185.0,2016-01-08,,,2016-01-08T17:50:44,315.0
Lateral Raise,2,10,60.0,2016-01-10,,,2016-01-10T08:03:39,50.0
Lateral Raise (Dumbbells),2,10,60.0,2016-01-10,,,2016-01-10T08:03:39,50.0
Seated Military Press,2,8,215.0,2016-01-10,,,2016-01-10T08:03:39,165.0
Seated Shoulder  Press (Barbell),2,8,215.0,2016-01-10,,,2016-01-10T08:03:39,165.0
Weighted dips,6,8,90.0,2016-01-10,,,2016-01-10T08:03:39,0.0
Chin Up,8,10,35.0,2016-01-12,,,2016-01-12T19:52:07,0.0
Hammer back row wide 45 angle,6,8,210.0,2016-01-12,,,2016-01-12T19:52:07,180.0
Squat,3,8,315.0,2016-01-13,,,2016-01-13T21:01:52,335.0
Squat (Barbell),3,8,315.0,2016-01-13,,,2016-01-13T21:01:52,335.0
Incline Bench Press,2,8,240.0,2016-01-15,,,2016-01-15T20:06:48,235.0
Incline Bench Press (Barbell),2,8,240.0,2016-01-15,,,2016-01-15T20:06:48,235.0
Seated Military Press,3,10,165.0,2016-01-15,,,2016-01-15T20:06:48,185.0
Seated Shoulder  Press (Barbell),3,10,165.0,2016-01-15,,,2016-01-15T20:06:48,185.0
Weighted dips,6,11,0.0,2016-01-15,,,2016-01-15T20:06:48,0.0
Chin Up,6,8,0.0,2016-01-23,,,2016-01-23T14:20:50,50.0
Incline Bench Press,3,8,235.0,2016-01-23,,,2016-01-23T14:20:50,240.0
Incline Bench Press (Barbell),3,8,235.0,2016-01-23,,,2016-01-23T14:20:50,240.0
Lateral Raise,3,10,50.0,2016-01-23,,,2016-01-23T14:20:50,50.0
Lateral Raise (Dumbbells),3,10,50.0,2016-01-23,,,2016-01-23T14:20:50,50.0
Weighted dips,8,8,0.0,2016-01-23,,,2016-01-23T14:20:50,100.0
Bicep Curl (Barbell),1,12,90.0,2016-01-24,,,2016-01-24T12:18:25,70.0
Bicep Curl (barbell ),1,12,90.0,2016-01-24,,,2016-01-24T12:18:25,70.0
Chin Up,6,10,50.0,2016-01-24,,,2016-01-24T12:18:25,52.5
Rear delt fly,6,15,115.0,2016-01-24,,,2016-01-24T12:18:25,125.0
Seated Cable Row (close Grip),3,10,190.0,2016-01-24,,,2016-01-24T12:18:25,190.0
Seated Row,3,10,190.0,2016-01-24,,,2016-01-24T12:18:25,190.0
Leg curl,2,10,125.0,2016-01-25,,,2016-01-25T20:01:01,135.0
Squat,2,6,335.0,2016-01-25,,,2016-01-25T20:01:01,185.0
Squat (Barbell),2,6,335.0,2016-01-25,,,2016-01-25T20:01:01,185.0
Seated Military Press (Dumbbell),3,11,180.0,2016-01-28,,,2016-01-28T20:17:28,140.0
Seated Shoulder Press (Dumbbell),3,11,180.0,2016-01-28,,,2016-01-28T20:17:28,140.0
Weighted dips,6,10,100.0,2016-01-28,,,2016-01-28T20:17:28,115.0
Chin Up,6,9,52.5,2016-01-30,,,2016-01-30T15:01:17,45.0
Hammer lat pulldown,6,10,180.0,2016-01-30,,,2016-01-30T15:01:17,180.0
Rear delt fly,4,15,125.0,2016-01-30,,,2016-01-30T15:01:17,115.0
Seated Cable Row (close Grip),2,8,190.0,2016-01-30,,,2016-01-30T15:01:17,190.0
Seated Row,2,8,190.0,2016-01-30,,,2016-01-30T15:01:17,190.0
Deadlift (Barbell),3,5,345.0,2016-01-31,,,2016-01-31T15:20:03,275.0
Squat,3,6,185.0,2016-01-31,,,2016-01-31T15:20:03,275.0
Squat (Barbell),3,6,185.0,2016-01-31,,,2016-01-31T15:20:03,275.0
Incline Bench Press,3,8,240.0,2016-02-01,,,2016-02-01T18:09:30,240.0
Incline Bench Press (Barbell),3,8,240.0,2016-02-01,,,2016-02-01T18:09:30,240.0
Lateral Raise,1,8,50.0,2016-02-01,,,2016-02-01T18:09:30,50.0
Lateral Raise (Dumbbells),1,8,50.0,2016-02-01,,,2016-02-01T18:09:30,50.0
Weighted dips,2,8,115.0,2016-02-01,,,2016-02-01T18:09:30,0.0
Chin Up,6,12,45.0,2016-02-04,,,2016-02-04T18:37:10,0.0
T-bar Row,6,12,115.0,2016-02-04,,,2016-02-04T18:37:10,115.0
Incline Bench Press,4,8,240.0,2016-02-05,,,2016-02-05T20:09:54,225.0
Incline Bench Press (Barbell),4,8,240.0,2016-02-05,,,2016-02-05T20:09:54,225.0
Weighted dips,6,8,0.0,2016-02-05,,,2016-02-05T20:09:54,115.0
Bicep Curl (Barbell),2,10,70.0,2016-02-11,,,2016-02-11T13:33:03,95.0
Bicep Curl (barbell ),2,10,70.0,2016-02-11,,,2016-02-11T13:33:03,95.0
Chin Up,12,10,0.0,2016-02-11,,,2016-02-11T13:33:03,45.0
Hammer back row wide 45 angle,4,10,180.0,2016-02-11,,,2016-02-11T13:33:03,140.0
Lat Pulldown,6,10,145.0,2016-02-11,,,2016-02-11T13:33:03,150.0
Rear delt fly,4,10,115.0,2016-02-11,,,2016-02-11T13:33:03,115.0
Incline Bench Press,3,8,225.0,2016-02-11,,,2016-02-11T17:29:56,235.0
Incline Bench Press (Barbell),3,8,225.0,2016-02-11,,,2016-02-11T17:29:56,235.0
Seated Military Press,2,8,185.0,2016-02-11,,,2016-02-11T17:29:56,195.0
Seated Shoulder  Press (Barbell),2,8,185.0,2016-02-11,,,2016-02-11T17:29:56,195.0
Bicep Curl (Barbell),3,10,95.0,2016-02-15,,,2016-02-15T15:25:09,95.0
Bicep Curl (barbell ),3,10,95.0,2016-02-15,,,2016-02-15T15:25:09,95.0
Chin Up,8,11,45.0,2016-02-15,,,2016-02-15T15:25:09,52.5
Rear delt fly,6,15,115.0,2016-02-15,,,2016-02-15T15:25:09,130.0
