exercise,sets,reps,weight,date,rpe,rir,logged_at
Bicep Curl (Dumbbell),2,14,40.0,2016-09-18,,,2016-09-18T13:42:54
Chin Up,5,8,57.5,2016-09-18,,,2016-09-18T13:42:54
Hammer seated row (CLOSE GRIP),3,12,125.0,2016-09-18,,,2016-09-18T13:42:54
Pull Up,1,7,0.0,2016-09-18,,,2016-09-18T13:42:54
Rear delt fly,3,15,130.0,2016-09-18,,,2016-09-18T13:42:54
T-bar Row,4,8,125.0,2016-09-18,,,2016-09-18T13:42:54
Good Morning (Barbell),3,10,100.0,2016-09-19,,,2016-09-19T17:41:11
Leg curl,2,12,140.0,2016-09-19,,,2016-09-19T17:41:11
Leg press (hinge ),3,11,500.0,2016-09-19,,,2016-09-19T17:41:11
Squat (Barbell),4,5,265.0,2016-09-19,,,2016-09-19T17:41:11
Lateral Raise (Dumbbells),2,15,40.0,2016-09-20,,,2016-09-20T14:53:34
Seated Shoulder  Press (Barbell),2,6,135.0,2016-09-20,,,2016-09-20T14:53:34
Weighted dips,3,8,107.5,2016-09-20,,,2016-09-20T14:53:34
Chin Up,3,9,60.0,2016-09-22,,,2016-09-22T16:51:04
Hammer Curl (Dumbbell ),3,12,50.0,2016-09-22,,,2016-09-22T16:51:04
Lat Pulldown,2,12,155.0,2016-09-22,,,2016-09-22T16:51:04
Pull Up,1,9,35.0,2016-09-22,,,2016-09-22T16:51:04
Rear delt fly,3,12,135.0,2016-09-22,,,2016-09-22T16:51:04
Good Morning (Barbell),2,11,95.0,2016-09-23,,,2016-09-23T22:01:35
Leg curl,3,12,140.0,2016-09-23,,,2016-09-23T22:01:35
Leg outward fly,4,13,120.0,2016-09-23,,,2016-09-23T22:01:35
Leg press (hinge ),2,12,505.0,2016-09-23,,,2016-09-23T22:01:35
Squat (Barbell),4,6,320.0,2016-09-23,,,2016-09-23T22:01:35
Incline Bench Press (Barbell),2,8,227.5,2016-09-24,,,2016-09-24T17:16:20
Incline Press (Dumbbell),2,10,170.0,2016-09-24,,,2016-09-24T17:16:20
Landmine Press,2,10,115.0,2016-09-24,,,2016-09-24T17:16:20
Lateral Raise (Dumbbells),2,18,24.0,2016-09-24,,,2016-09-24T17:16:20
Overhead Press (Dumbbell),1,12,120.0,2016-09-24,,,2016-09-24T17:16:20
Tricep Extension,2,12,85.0,2016-09-24,,,2016-09-24T17:16:20
Bicep Curl (Barbell),2,10,100.0,2016-09-26,,,2016-09-26T17:12:59
Bicep Curl (Dumbbell),2,12,50.0,2016-09-26,,,2016-09-26T17:12:59
Chin Up,2,8,62.5,2016-09-26,,,2016-09-26T17:12:59
Hammer Curl (Dumbbell ),1,10,50.0,2016-09-26,,,2016-09-26T17:12:59
Hammer seated row (CLOSE GRIP),3,12,160.0,2016-09-26,,,2016-09-26T17:12:59
Pull Up,1,10,0.0,2016-09-26,,,2016-09-26T17:12:59
Rear delt fly,2,13,135.0,2016-09-26,,,2016-09-26T17:12:59
T-bar Row,3,10,135.0,2016-09-26,,,2016-09-26T17:12:59
Lateral Raise (Dumbbells),2,14,30.0,2016-09-28,,,2016-09-28T15:33:16
Seated Shoulder  Press (Barbell),4,5,135.0,2016-09-28,,,2016-09-28T15:33:16
Seated Shoulder Press (Dumbbell),3,10,100.0,2016-09-28,,,2016-09-28T15:33:16
Weighted dips,4,10,110.0,2016-09-28,,,2016-09-28T15:33:16
Leg press (hinge ),2,12,510.0,2016-09-29,,,2016-09-29T21:58:16
Squat (Barbell),4,6,325.0,2016-09-29,,,2016-09-29T21:58:16
Bent Over Row (Dumbbell),3,10,160.0,2016-09-30,,,2016-09-30T21:54:37
Bicep Curl (Barbell),3,10,100.0,2016-09-30,,,2016-09-30T21:54:37
Bicep Curl (Dumbbell),1,16,40.0,2016-09-30,,,2016-09-30T21:54:37
Chin Up,3,8,65.0,2016-09-30,,,2016-09-30T21:54:37
Hammer seated row (CLOSE GRIP),3,12,160.0,2016-09-30,,,2016-09-30T21:54:37
Incline Bench Press (Barbell),3,8,230.0,2016-10-02,,,2016-10-02T19:03:54
Incline Press (Dumbbell),3,11,180.0,2016-10-02,,,2016-10-02T19:03:54
Weighted dips,2,11,0.0,2016-10-02,,,2016-10-02T19:03:54
Leg curl,2,10,140.0,2016-10-04,,,2016-10-04T11:11:42
Leg press (hinge ),2,12,520.0,2016-10-04,,,2016-10-04T11:11:42
Squat (Barbell),3,5,185.0,2016-10-04,,,2016-10-04T11:11:42
Bicep Curl (Barbell),3,10,100.0,2016-10-06,,,2016-10-06T17:41:20
Chin Up,3,8,70.0,2016-10-06,,,2016-10-06T17:41:20
Hammer Curl (Dumbbell ),2,12,50.0,2016-10-06,,,2016-10-06T17:41:20
Hammer seated row (CLOSE GRIP),1,12,145.0,2016-10-06,,,2016-10-06T17:41:20
Rear delt fly,3,12,145.0,2016-10-06,,,2016-10-06T17:41:20
Seated Cable Row (close Grip),2,10,190.0,2016-10-06,,,2016-10-06T17:41:20
Seated Shoulder  Press (Barbell),3,8,225.0,2016-10-07,,,2016-10-07T14:32:11
Shoulder Press (Standing),2,8,105.0,2016-10-07,,,2016-10-07T14:32:11
Weighted dips,3,8,125.0,2016-10-07,,,2016-10-07T14:32:11
Leg curl,3,12,145.0,2016-10-09,,,2016-10-09T17:05:27
Leg outward fly,3,12,120.0,2016-10-09,,,2016-10-09T17:05:27
Leg press (hinge ),3,11,550.0,2016-10-09,,,2016-10-09T17:05:27
Squat (Barbell),2,6,225.0,2016-10-09,,,2016-10-09T17:05:27
Bicep Curl (Barbell),2,12,75.0,2016-10-11,,,2016-10-11T17:17:44
Chin Up,4,8,70.0,2016-10-11,,,2016-10-11T17:17:44
Rear delt fly,3,15,145.0,2016-10-11,,,2016-10-11T17:17:44
Seated Cable Row (close Grip),4,10,190.0,2016-10-11,,,2016-10-11T17:17:44
Incline Bench Press (Barbell),3,5,135.0,2016-10-12,,,2016-10-12T17:38:23
Incline Press (Dumbbell),2,10,190.0,2016-10-12,,,2016-10-12T17:38:23
Overhead Press (Barbell),2,12,40.0,2016-10-12,,,2016-10-12T17:38:23
Leg curl,2,12,150.0,2016-10-13,,,2016-10-13T16:31:51
Leg outward fly,3,14,120.0,2016-10-13,,,2016-10-13T16:31:51
Leg press (hinge ),3,10,560.0,2016-10-13,,,2016-10-13T16:31:51
Romanian Deadlift (Barbell),3,10,135.0,2016-10-13,,,2016-10-13T16:31:51
Squat (Barbell),1,5,365.0,2016-10-13,,,2016-10-13T16:31:51
Bicep Curl (Barbell),1,10,100.0,2016-10-15,,,2016-10-15T18:08:55
Bicep Curl (Dumbbell),3,12,50.0,2016-10-15,,,2016-10-15T18:08:55
Chin Up,3,9,70.0,2016-10-15,,,2016-10-15T18:08:55
Hammer seated row (CLOSE GRIP),3,10,150.0,2016-10-15,,,2016-10-15T18:08:55
Rear delt fly,2,12,135.0,2016-10-15,,,2016-10-15T18:08:55
Seated Shoulder  Press (Barbell),6,8,225.0,2016-10-16,,,2016-10-16T16:15:25
Seated Shoulder Press (Dumbbell),6,12,80.0,2016-10-16,,,2016-10-16T16:15:25
Weighted dips,4,10,125.0,2016-10-16,,,2016-10-16T16:15:25
Leg Extension (Machine),2,12,125.0,2016-10-17,,,2016-10-17T16:43:20
Romanian Deadlift (Barbell),3,10,145.0,2016-10-17,,,2016-10-17T16:43:20
Squat (Barbell),2,5,370.0,2016-10-17,,,2016-10-17T16:43:20
Chin Up,3,8,72.5,2016-10-19,,,2016-10-19T18:17:58
Lat Pulldown,3,12,155.0,2016-10-19,,,2016-10-19T18:17:58
Rear delt fly,3,12,140.0,2016-10-19,,,2016-10-19T18:17:58
Incline Bench Press (Barbell),2,5,145.0,2016-10-20,,,2016-10-20T22:11:16
Incline Press (Dumbbell),2,12,180.0,2016-10-20,,,2016-10-20T22:11:16
Leg outward fly,3,12,120.0,2016-10-21,,,2016-10-21T19:25:08
Leg press (hinge ),3,12,540.0,2016-10-21,,,2016-10-21T19:25:08
Romanian Deadlift (Barbell),3,10,185.0,2016-10-21,,,2016-10-21T19:25:08
Squat (Barbell),2,5,225.0,2016-10-21,,,2016-10-21T19:25:08
Bicep Curl (Barbell),2,12,85.0,2016-10-23,,,2016-10-23T13:14:37
Chin Up,5,6,75.0,2016-10-23,,,2016-10-23T13:14:37
Hammer seated row (CLOSE GRIP),4,11,160.0,2016-10-23,,,2016-10-23T13:14:37
Lat Pulldown,1,9,185.0,2016-10-23,,,2016-10-23T13:14:37
Rear delt fly,3,12,140.0,2016-10-23,,,2016-10-23T13:14:37
Incline Bench Press (Barbell),3,8,237.5,2016-10-24,,,2016-10-24T14:07:25
Incline Press (Dumbbell),2,10,190.0,2016-10-24,,,2016-10-24T14:07:25
Overhead Press (Barbell),2,10,130.0,2016-10-24,,,2016-10-24T14:07:25
Leg press (hinge ),3,10,610.0,2016-10-26,,,2016-10-26T18:05:53
Romanian Deadlift (Barbell),2,6,215.0,2016-10-26,,,2016-10-26T18:05:53
Squat (Barbell),2,4,315.0,2016-10-26,,,2016-10-26T18:05:53
Bicep Curl (Barbell),2,8,105.0,2016-10-27,,,2016-10-27T20:33:09
Chin Up,4,6,80.0,2016-10-27,,,2016-10-27T20:33:09
Lat Pulldown,2,9,170.0,2016-10-27,,,2016-10-27T20:33:09
Seated Cable Row (close Grip),4,10,205.0,2016-10-27,,,2016-10-27T20:33:09
Seated Shoulder  Press (Barbell),4,6,230.0,2016-10-28,,,2016-10-28T20:25:53
Shoulder Press (Standing),1,10,65.0,2016-10-28,,,2016-10-28T20:25:53
Weighted dips,3,11,90.0,2016-10-28,,,2016-10-28T20:25:53
Leg Extension (Machine),2,10,155.0,2016-10-30,,,2016-10-30T17:36:16
Leg outward fly,2,10,130.0,2016-10-30,,,2016-10-30T17:36:16
Leg press (hinge ),2,10,630.0,2016-10-30,,,2016-10-30T17:36:16
Romanian Deadlift (Barbell),1,7,240.0,2016-10-30,,,2016-10-30T17:36:16
Squat (Barbell),3,5,365.0,2016-10-30,,,2016-10-30T17:36:16
Bicep Curl (Dumbbell),2,10,50.0,2016-10-31,,,2016-10-31T18:42:22
Chin Up,3,6,82.5,2016-10-31,,,2016-10-31T18:42:22
Hammer seated row (CLOSE GRIP),2,10,170.0,2016-10-31,,,2016-10-31T18:42:22
Lat Pulldown,3,10,180.0,2016-10-31,,,2016-10-31T18:42:22
Rear delt fly,3,12,140.0,2016-10-31,,,2016-10-31T18:42:22
Incline Bench Press (Barbell),2,6,250.0,2016-11-01,,,2016-11-01T18:21:54
Incline Press (Dumbbell),2,10,180.0,2016-11-01,,,2016-11-01T18:21:54
Shoulder Press (Standing),2,8,95.0,2016-11-01,,,2016-11-01T18:21:54
Squat (Barbell),1,3,390.0,2016-11-04,,,2016-11-04T18:41:56
Seated Shoulder  Press (Barbell),3,6,235.0,2016-11-05,,,2016-11-05T15:04:23
Shoulder Press (Standing),2,10,80.0,2016-11-05,,,2016-11-05T15:04:23
Weighted dips,2,8,127.5,2016-11-05,,,2016-11-05T15:04:23
Chin Up,3,60,10.0,2016-11-06,,,2016-11-06T14:07:16
Rear delt fly,3,10,145.0,2016-11-06,,,2016-11-06T14:07:16
Seated Cable Row (close Grip),2,10,205.0,2016-11-06,,,2016-11-06T14:07:16
Leg Extension (Machine),2,10,155.0,2016-11-07,,,2016-11-07T17:28:02
Leg press (hinge ),3,10,630.0,2016-11-07,,,2016-11-07T17:28:02
Romanian Deadlift (Barbell),2,6,245.0,2016-11-07,,,2016-11-07T17:28:02
Squat (Barbell),2,5,365.0,2016-11-07,,,2016-11-07T17:28:02
Incline Bench Press (Barbell),2,5,252.5,2016-11-09,,,2016-11-09T16:51:30
Incline Press (Dumbbell),3,8,190.0,2016-11-09,,,2016-11-09T16:51:30
Bicep Curl (Barbell),4,10,85.0,2016-11-11,,,2016-11-11T18:50:03
Chin Up,3,9,70.0,2016-11-11,,,2016-11-11T18:50:03
Lat Pulldown,1,10,195.0,2016-11-11,,,2016-11-11T18:50:03
Rear delt fly,3,15,140.0,2016-11-11,,,2016-11-11T18:50:03
Seated Cable Row (close Grip),4,10,205.0,2016-11-11,,,2016-11-11T18:50:03
Leg press (hinge ),2,15,360.0,2016-11-12,,,2016-11-12T12:29:26
Romanian Deadlift (Barbell),2,6,255.0,2016-11-12,,,2016-11-12T12:29:26
Squat (Barbell),2,6,335.0,2016-11-12,,,2016-11-12T12:29:26
Lateral Raise (Dumbbells),2,10,40.0,2016-11-13,,,2016-11-13T16:30:45
Seated Shoulder  Press (Barbell),4,6,235.0,2016-11-13,,,2016-11-13T16:30:45
Shoulder Press (Standing),1,6,105.0,2016-11-13,,,2016-11-13T16:30:45
Tricep pushdown,3,10,70.0,2016-11-13,,,2016-11-13T16:30:45
Weighted dips,3,8,127.5,2016-11-13,,,2016-11-13T16:30:45
Bicep Curl (Barbell),3,11,95.0,2016-11-15,,,2016-11-15T17:17:46
Chin Up,1,9,72.5,2016-11-15,,,2016-11-15T17:17:46
Pull Up,2,9,35.0,2016-11-15,,,2016-11-15T17:17:46
Rear delt fly,3,15,145.0,2016-11-15,,,2016-11-15T17:17:46
Seated Cable Row (close Grip),2,10,165.0,2016-11-15,,,2016-11-15T17:17:46
Front Squat (Barbell),2,4,225.0,2016-11-16,,,2016-11-16T15:43:06
Leg curl,1,10,140.0,2016-11-16,,,2016-11-16T15:43:06
Squat (Barbell),2,6,345.0,2016-11-16,,,2016-11-16T15:43:06
Incline Bench Press (Barbell),2,5,255.0,2016-11-18,,,2016-11-18T15:18:43
Incline Press (Dumbbell),3,10,190.0,2016-11-18,,,2016-11-18T15:18:43
Shoulder Press (Standing),1,6,65.0,2016-11-18,,,2016-11-18T15:18:43
Bent Over Row (Dumbbell),3,10,100.0,2016-11-19,,,2016-11-19T11:55:36
Bicep Curl (Barbell),3,10,97.5,2016-11-19,,,2016-11-19T11:55:36
Chin Up,4,10,55.0,2016-11-19,,,2016-11-19T11:55:36
Lat Pulldown,1,10,150.0,2016-11-19,,,2016-11-19T11:55:36
Rear delt fly,3,15,135.0,2016-11-19,,,2016-11-19T11:55:36
Deadlift (Barbell),1,5,255.0,2016-11-21,,,2016-11-21T19:04:22
Front Squat (Barbell),1,5,155.0,2016-11-21,,,2016-11-21T19:04:22
Leg press (hinge ),1,10,270.0,2016-11-21,,,2016-11-21T19:04:22
Romanian Deadlift (Barbell),3,5,255.0,2016-11-21,,,2016-11-21T19:04:22
Squat (Barbell),1,5,375.0,2016-11-21,,,2016-11-21T19:04:22
Lateral Raise (Dumbbells),2,15,30.0,2016-11-22,,,2016-11-22T20:18:19
Seated Shoulder  Press (Barbell),3,6,235.0,2016-11-22,,,2016-11-22T20:18:19
Seated Shoulder Press (Dumbbell),1,10,80.0,2016-11-22,,,2016-11-22T20:18:19
Weighted dips,2,8,125.0,2016-11-22,,,2016-11-22T20:18:19
Bent Over Row (Dumbbell),4,10,100.0,2016-11-23,,,2016-11-23T17:08:52
Bicep Curl (Barbell),3,10,100.0,2016-11-23,,,2016-11-23T17:08:52
Chin Up,4,10,25.0,2016-11-23,,,2016-11-23T17:08:52
Pull Up,2,10,25.0,2016-11-23,,,2016-11-23T17:08:52
Rear delt fly,3,12,135.0,2016-11-23,,,2016-11-23T17:08:52
Leg press (hinge ),2,10,360.0,2016-11-25,,,2016-11-25T21:50:31
Squat (Barbell),1,5,275.0,2016-11-25,,,2016-11-25T21:50:31
Incline Bench Press (Barbell),3,5,257.5,2016-11-26,,,2016-11-26T15:07:27
Overhead Press (Barbell),2,8,165.0,2016-11-26,,,2016-11-26T15:07:27
Weighted dips,2,8,45.0,2016-11-26,,,2016-11-26T15:07:27
Bicep Curl (Barbell),3,9,101.25,2016-11-27,,,2016-11-27T16:59:48
Chin Up,2,5,90.0,2016-11-27,,,2016-11-27T16:59:48
Pull Up,3,10,30.0,2016-11-27,,,2016-11-27T16:59:48
Rear delt fly,3,15,145.0,2016-11-27,,,2016-11-27T16:59:48
Seated Cable Row (close Grip),2,10,205.0,2016-11-27,,,2016-11-27T16:59:48
Squat (Barbell),2,5,345.0,2016-11-28,,,2016-11-28T21:49:56
Seated Shoulder  Press (Barbell),2,4,135.0,2016-11-30,,,2016-11-30T19:27:51
Seated Shoulder Press (Dumbbell),3,8,170.0,2016-11-30,,,2016-11-30T19:27:51
Weighted dips,5,8,90.0,2016-11-30,,,2016-11-30T19:27:51
Bicep Curl (Barbell),3,10,100.0,2016-12-01,,,2016-12-01T20:28:46
Chin Up,2,10,60.0,2016-12-01,,,2016-12-01T20:28:46
Rear delt fly,3,15,145.0,2016-12-01,,,2016-12-01T20:28:46
Seated Cable Row (close Grip),2,10,190.0,2016-12-01,,,2016-12-01T20:28:46
Leg press (hinge ),2,8,520.0,2016-12-03,,,2016-12-03T17:22:02
Squat (Barbell),2,5,325.0,2016-12-03,,,2016-12-03T17:22:02
Incline Bench Press (Barbell),3,5,255.0,2016-12-04,,,2016-12-04T19:22:39
Overhead Press (Barbell),1,10,185.0,2016-12-04,,,2016-12-04T19:22:39
Weighted dips,2,10,0.0,2016-12-04,,,2016-12-04T19:22:39
Bent Over Row (Dumbbell),4,10,100.0,2016-12-06,,,2016-12-06T19:09:08
Bicep Curl (Barbell),3,10,100.0,2016-12-06,,,2016-12-06T19:09:08
Chin Up,5,10,60.0,2016-12-06,,,2016-12-06T19:09:08
Seated Shoulder  Press (Barbell),2,5,135.0,2016-12-08,,,2016-12-08T18:55:10
Weighted dips,2,10,115.0,2016-12-08,,,2016-12-08T18:55:10
Leg press (hinge ),2,10,540.0,2016-12-10,,,2016-12-10T16:51:16
Romanian Deadlift (Barbell),2,6,255.0,2016-12-10,,,2016-12-10T16:51:16
Squat (Barbell),3,5,325.0,2016-12-10,,,2016-12-10T16:51:16
Incline Bench Press (Barbell),2,5,255.0,2016-12-11,,,2016-12-11T21:04:38
Incline Press (Dumbbell),3,10,180.0,2016-12-11,,,2016-12-11T21:04:38
Weighted dips,2,8,60.0,2016-12-11,,,2016-12-11T21:04:38
Bicep Curl (Barbell),6,8,102.5,2016-12-13,,,2016-12-13T18:16:12
Chin Up,6,8,62.5,2016-12-13,,,2016-12-13T18:16:12
Rear delt fly,6,12,140.0,2016-12-13,,,2016-12-13T18:16:12
Seated Cable Row (close Grip),6,10,190.0,2016-12-13,,,2016-12-13T18:16:12
Incline Bench Press (Barbell),2,5,260.0,2016-12-16,,,2016-12-16T18:08:19
Weighted dips,3,8,105.0,2016-12-16,,,2016-12-16T18:08:19
Bent Over Row (Dumbbell),3,10,100.0,2016-12-18,,,2016-12-18T18:34:52
Chin Up,3,8,62.5,2016-12-18,,,2016-12-18T18:34:52
Hammer seated row (CLOSE GRIP),1,10,155.0,2016-12-18,,,2016-12-18T18:34:52
Seated Shoulder  Press (Barbell),3,8,225.0,2016-12-26,,,2016-12-26T16:01:02
Weighted dips,3,10,90.0,2016-12-26,,,2016-12-26T16:01:02
Bicep Curl (Barbell),3,10,85.0,2016-12-27,,,2016-12-27T20:08:18
Chin Up,3,7,60.0,2016-12-27,,,2016-12-27T20:08:18
Hammer seated row (CLOSE GRIP),2,10,140.0,2016-12-27,,,2016-12-27T20:08:18
Rear delt fly,3,12,145.0,2016-12-27,,,2016-12-27T20:08:18
Chin Up,4,12,0.0,2016-12-31,,,2016-12-31T17:16:15
Seated Cable Row (close Grip),4,10,180.0,2016-12-31,,,2016-12-31T17:16:15
Leg press (hinge ),4,10,360.0,2017-01-01,,,2017-01-01T16:16:32
Squat (Barbell),2,5,315.0,2017-01-01,,,2017-01-01T16:16:32
Lateral Raise (Dumbbells),3,10,50.0,2017-01-03,,,2017-01-03T18:34:44
Seated Shoulder  Press (Barbell),3,8,225.0,2017-01-03,,,2017-01-03T18:34:44
Weighted dips,3,10,90.0,2017-01-03,,,2017-01-03T18:34:44
Bent Over Row (Dumbbell),2,11,90.0,2017-01-05,,,2017-01-05T19:10:20
Bicep Curl (Barbell),3,10,100.0,2017-01-05,,,2017-01-05T19:10:20
Chin Up,4,10,50.0,2017-01-05,,,2017-01-05T19:10:20
Rear delt fly,3,12,130.0,2017-01-05,,,2017-01-05T19:10:20
Incline Bench Press (Barbell),3,6,245.0,2017-01-08,,,2017-01-08T06:09:37
Incline Press (Dumbbell),2,11,150.0,2017-01-08,,,2017-01-08T06:09:37
Bicep Curl (Barbell),4,10,90.0,2017-01-09,,,2017-01-09T06:09:51
Chin Up,4,10,35.0,2017-01-09,,,2017-01-09T06:09:51
Lat Pulldown,1,12,185.0,2017-01-09,,,2017-01-09T06:09:51
Pull Up,2,12,10.0,2017-01-09,,,2017-01-09T06:09:51
Rear delt fly,2,12,145.0,2017-01-09,,,2017-01-09T06:09:51
Seated Cable Row (close Grip),2,10,190.0,2017-01-09,,,2017-01-09T06:09:51
Leg press (hinge ),6,10,500.0,2017-01-11,,,2017-01-11T20:33:08
Romanian Deadlift (Barbell),4,6,205.0,2017-01-11,,,2017-01-11T20:33:08
Squat (Barbell),6,5,315.0,2017-01-11,,,2017-01-11T20:33:08
Seated Shoulder  Press (Barbell),2,6,230.0,2017-01-12,,,2017-01-12T20:38:44
Weighted dips,2,8,100.0,2017-01-12,,,2017-01-12T20:38:44
Chin Up,5,10,45.0,2017-01-14,,,2017-01-14T18:59:31
Incline Bench Press (Barbell),2,8,235.0,2017-01-17,,,2017-01-17T20:48:00
Leg press (hinge ),2,10,430.0,2017-01-18,,,2017-01-18T19:40:32
Romanian Deadlift (Barbell),2,6,265.0,2017-01-18,,,2017-01-18T19:40:32
Squat (Barbell),2,6,315.0,2017-01-18,,,2017-01-18T19:40:32
Chin Up,3,10,50.0,2017-01-20,,,2017-01-20T15:57:19
Seated Cable Row (close Grip),2,10,180.0,2017-01-20,,,2017-01-20T15:57:19
Seated Shoulder  Press (Barbell),2,6,230.0,2017-01-22,,,2017-01-22T18:53:10
Weighted dips,2,10,115.0,2017-01-22,,,2017-01-22T18:53:10
Leg press (hinge ),3,10,400.0,2017-01-24,,,2017-01-24T21:08:28
Romanian Deadlift (Barbell),2,8,225.0,2017-01-24,,,2017-01-24T21:08:28
Squat (Barbell),2,6,345.0,2017-01-24,,,2017-01-24T21:08:28
Chin Up,4,9,52.5,2017-01-25,,,2017-01-25T21:10:44
Incline Bench Press (Barbell),2,8,225.0,2017-01-28,,,2017-01-28T14:51:22
Leg press (hinge ),4,10,450.0,2017-01-29,,,2017-01-29T19:23:58
Squat (Barbell),2,8,245.0,2017-01-29,,,2017-01-29T19:23:58
Seated Shoulder  Press (Barbell),3,8,225.0,2017-02-02,,,2017-02-02T21:06:41
Weighted dips,2,9,115.0,2017-02-02,,,2017-02-02T21:06:41
Leg press (hinge ),3,10,450.0,2017-02-04,,,2017-02-04T19:03:35
Squat (Barbell),3,6,275.0,2017-02-04,,,2017-02-04T19:03:35
Bicep Curl (Barbell),3,10,90.0,2017-02-07,,,2017-02-07T08:52:17
Chin Up,3,10,60.0,2017-02-07,,,2017-02-07T08:52:17
Hammer seated row (CLOSE GRIP),3,10,205.0,2017-02-07,,,2017-02-07T08:52:17
Rear delt fly,2,12,115.0,2017-02-07,,,2017-02-07T08:52:17
Squat (Barbell),2,6,295.0,2017-02-08,,,2017-02-08T07:17:51
Bench Press (Barbell),2,6,275.0,2017-02-10,,,2017-02-10T15:18:03
Lateral Raise (Dumbbells),2,10,60.0,2017-02-10,,,2017-02-10T15:18:03
Seated Shoulder  Press (Barbell),3,6,230.0,2017-02-10,,,2017-02-10T15:18:03
Weighted dips,2,10,0.0,2017-02-10,,,2017-02-10T15:18:03
Bicep Curl (Barbell),2,12,100.0,2017-02-11,,,2017-02-11T14:33:10
Chin Up,1,6,77.5,2017-02-11,,,2017-02-11T14:33:10
Deadlift (Barbell),1,6,295.0,2017-02-11,,,2017-02-11T14:33:10
Hammer seated row (CLOSE GRIP),3,10,210.0,2017-02-11,,,2017-02-11T14:33:10
Neutral Chin,2,10,35.0,2017-02-11,,,2017-02-11T14:33:10
Incline Bench Press (Barbell),3,8,230.0,2017-02-14,,,2017-02-14T20:59:03
Squat (Barbell),3,6,275.0,2017-02-15,,,2017-02-15T22:11:14
Chin Up,1,6,80.0,2017-02-16,,,2017-02-16T12:06:00
Deadlift (Barbell),1,5,205.0,2017-02-16,,,2017-02-16T12:06:00
Hammer seated row (CLOSE GRIP),3,10,210.0,2017-02-16,,,2017-02-16T12:06:00
Neutral Chin,2,12,37.5,2017-02-16,,,2017-02-16T12:06:00
Bench Press (Barbell),1,5,280.0,2017-02-18,,,2017-02-18T12:17:42
Incline Bench Press (Barbell),2,8,235.0,2017-02-18,,,2017-02-18T12:17:42
Leg press (hinge ),8,10,360.0,2017-02-19,,,2017-02-19T10:59:10
Squat (Barbell),6,6,315.0,2017-02-19,,,2017-02-19T10:59:10
Chin Up,3,10,60.0,2017-02-21,,,2017-02-21T21:05:28
Hammer Curl (Dumbbell ),3,12,70.0,2017-02-21,,,2017-02-21T21:05:28
Hammer seated row (CLOSE GRIP),3,12,210.0,2017-02-21,,,2017-02-21T21:05:28
Neutral Chin,3,10,40.0,2017-02-21,,,2017-02-21T21:05:28
Rear delt fly,1,15,120.0,2017-02-21,,,2017-02-21T21:05:28
Seated Shoulder  Press (Barbell),2,6,225.0,2017-02-22,,,2017-02-22T16:51:05
Weighted dips,2,10,90.0,2017-02-22,,,2017-02-22T16:51:05
Leg press (hinge ),3,12,450.0,2017-02-25,,,2017-02-25T15:30:23
Squat (Barbell),2,6,205.0,2017-02-25,,,2017-02-25T15:30:23
Chin Up,2,6,80.0,2017-02-27,,,2017-02-27T07:26:38
Hammer seated row (CLOSE GRIP),4,12,190.0,2017-02-27,,,2017-02-27T07:26:38
Rear delt fly,2,12,135.0,2017-02-27,,,2017-02-27T07:26:38
T-bar Row,2,10,100.0,2017-02-27,,,2017-02-27T07:26:38
Incline Bench Press (Barbell),6,8,240.0,2017-03-02,,,2017-03-02T21:41:27
Overhead Press (Dumbbell),6,10,140.0,2017-03-02,,,2017-03-02T21:41:27
Weighted dips,4,10,90.0,2017-03-02,,,2017-03-02T21:41:27
Bench Press (Barbell),1,4,290.0,2017-03-07,,,2017-03-07T06:38:00
Seated Shoulder  Press (Barbell),3,7,225.0,2017-03-07,,,2017-03-07T06:38:00
Chin Up,2,10,60.0,2017-03-08,,,2017-03-08T06:23:04
Hammer seated row (CLOSE GRIP),5,10,215.0,2017-03-08,,,2017-03-08T06:23:04
Leg press (hinge ),4,10,500.0,2017-03-10,,,2017-03-10T15:23:27
Squat (Barbell),2,6,315.0,2017-03-10,,,2017-03-10T15:23:27
Incline Bench Press (Barbell),3,8,240.0,2017-03-11,,,2017-03-11T12:56:33
Weighted dips,2,10,115.0,2017-03-11,,,2017-03-11T12:56:33
Chin Up,4,7,70.0,2017-03-12,,,2017-03-12T12:42:34
Chin Up,6,10,0.0,2017-03-16,,,2017-03-16T09:04:48
Leg curl,3,12,140.0,2017-03-18,,,2017-03-18T09:05:26
Squat (Barbell),3,6,315.0,2017-03-18,,,2017-03-18T09:05:26
Bench Press (Barbell),1,5,285.0,2017-03-19,,,2017-03-19T06:19:29
Incline Bench Press (Barbell),3,8,235.0,2017-03-19,,,2017-03-19T06:19:29
Chin Up,3,10,62.5,2017-03-21,,,2017-03-21T20:19:48
Hammer Curl (Dumbbell ),3,15,60.0,2017-03-21,,,2017-03-21T20:19:48
Hammer seated row (CLOSE GRIP),3,10,220.0,2017-03-21,,,2017-03-21T20:19:48
Rear delt fly,2,12,145.0,2017-03-21,,,2017-03-21T20:19:48
Chin Up,2,10,60.0,2017-03-25,,,2017-03-25T14:52:18
Hammer seated row (CLOSE GRIP),3,8,235.0,2017-03-25,,,2017-03-25T14:52:18
Rear delt fly,2,10,145.0,2017-03-25,,,2017-03-25T14:52:18
